RANK,NAME,COUNTRY,REGION,AFFILIATE,AGE,HEIGHT,WEIGHT,POINTS,22.1 Rank,22.1 Result,22.2 Rank,22.2 Result,22.3 Rank,22.3 Result
1,Kealan Henry,South Africa,Africa,CrossFit HFS,29,,,103,30,359 reps,57,8:19,16,5:17
2,Frédéric Dubé,Canada,North America,CrossFit Pro1,26,197,,138,64,348 reps,46,8:11,28,5:43
3,Jake Berman,United States,North America,TTT CrossFit,26,68,183,162,67,347 reps,93,8:30,2,4:29
4,Andris Sturans,United States,North America,Hammer CrossFit East,26,,,219,40,355 reps,164,8:47,15,5:16
5,Bayden Brown,Australia,Oceania,CrossFit Townsville,27,69.68503937007874,198.00000000000003,277,38,357 reps,236,8:56,3,4:41
6,Robert Åkerström,Sweden,Europe,CrossFit Vanheim,33,66.14173228346456,165.0,447,216,333 reps,164,8:47,67,6:24
7,Matt Shea,United States,North America,CrossFit Southie,33,69,185,484,318,331 reps,41,8:08,125,6:57
8,Maxime Calzado,France,Europe,CrossFit Genas,22,67.71653543307086,165.0,533,75,345 reps,311,9:04,147,7:10
9,Casper Gammelmark,Denmark,Europe,CrossFit Roskilde,31,72.04724409448819,189.20000000000002,555,216,333 reps,335,9:07,4,4:42
10,Dominick Maurici,United States,North America,Caution CrossFit Miami Lakes,33,67,180,604,503,329 reps,68,8:22,33,5:47
11,Parker Jax,United States,North America,,25,71,190,665,108,341 reps,512,9:21,45,6:00
12,Noah Ohlsen,United States,North America,Peak 360 CrossFit,31,67,190,691,688,322 reps,2,7:25,1,4:27
13,Trygve Nilsen,Norway,Europe,CrossFit Sarpsborg,28,70.07874015748031,184.8,694,176,335 reps,482,9:19,36,5:53
14,Tyler Marsh,Canada,North America,CrossFit NCR,24,72.04724409448819,203,700,318,331 reps,236,8:56,146,7:09
15,Taylor Domengeaux,United States,North America,,33,68,190,770,603,325 reps,139,8:43,28,5:43
16,fabien zappa,France,Europe,CrossFit Hyeres,23,80,,792,92,343 reps,429,9:16,271,7:55
17,Julian Serna,Colombia,South America,CrossFit Hallandale Beach Gator,38,71,195,798,318,331 reps,459,9:18,21,5:32
18,Rok Dernikovic,Slovenia,Europe,,30,67.32283464566929,178.20000000000002,880,550,327 reps,319,9:05,11,5:11
19,Ben Tobler,United States,North America,CrossFit UBU,34,65,160,987,572,326 reps,250,8:57,165,7:17
20,Anthony Gallet,France,Europe,CrossFit Saint Maximin,43,68.50393700787401,169.4,993,318,331 reps,535,9:22,140,7:05
21,Olivier Bonino,France,Europe,CrossFit TANKA,34,68.89763779527559,198.00000000000003,1046,550,327 reps,429,9:16,67,6:24
22,Anthony Vorachak,United States,North America,Upper Valley CrossFit,33,69,185,1085,890,317 reps,164,8:47,31,5:45
23,Malo Hallier,France,Europe,CrossFit Myrmica,22,69.68503937007874,173.8,1135,255,332 reps,679,9:29,201,7:32
24,James Hargreaves,Australia,Oceania,CrossFit Project Bayside,25,70.47244094488188,189.20000000000002,1137,503,329 reps,482,9:19,152,7:12
25,Eskild Johannessen,Denmark,Europe,CrossFit Butcher's Lab,20,70.86614173228347,180.4,1138,603,325 reps,459,9:18,76,6:35
26,Gustavo Errico,Venezuela,South America,RPC CrossFit,24,67.32283464566929,173.8,1163,999,315 reps,155,8:46,9,5:08
27,Tyler Hamm,Canada,North America,CrossFit 867,29,71,195,1324,688,322 reps,499,9:20,137,7:04
28,Erik Brorsson,Sweden,Europe,Kronan CrossFit,29,,,1352,944,316 reps,357,9:10,51,6:07
29,Dillon Bailey,United States,North America,CrossFit Westchase,30,,,1419,318,331 reps,1042,9:43,59,6:16
30,Griffin Roelle,United States,North America,CrossFit Dwala,30,70,205,1459,1397,309 reps,57,8:19,5,4:44
30,Adrian Gongora,United States,North America,CrossFit MLL,32,68,170,1459,1077,314 reps,282,9:01,100,6:47
32,Bobby Wallum,United States,North America,,32,,1497,890,317 reps,535,9:22,72,6:31
33,Lazar Đukić,Serbia,Europe,CrossFit NS,26,71.65354330708661,198.00000000000003,1498,718,321 reps,768,9:33,12,5:13
34,Andrea Barbotti,Italy,Europe,CrossFit Felsina,33,68.50393700787401,182.60000000000002,1560,657,323 reps,894,9:38,9,5:08
35,Stefano Carosso,Italy,Europe,CrossFit Felsina,27,74.40944881889763,202.4,1645,944,316 reps,679,9:29,22,5:33
36,Tony Hood,United Kingdom,Europe,CrossFit Blaydon,28,68.11023622047244,180,1735,1260,311 reps,189,8:50,286,7:59
37,Hunter Wood,United States,North America,CrossFit MF,31,68,181,1748,1189,312 reps,429,9:16,130,7:00
38,Jaison Longearet,France,Europe,,27,,1784,792,319 reps,953,9:40,39,5:56
39,Wojciech Laszczak,Poland,Europe,CrossFit 43300,31,67.32283464566929,176.0,1805,756,320 reps,1014,9:42,35,5:50
40,Joe Scali,Canada,North America,CrossFit Semiahmoo,36,72,195,1846,1189,312 reps,583,9:24,74,6:33
41,Brendan Caslin,United States,North America,CrossFit Southie,30,73,188,1902,1260,311 reps,512,9:21,130,7:00
42,Holger Schwartz,United States,North America,Aarhus CrossFit,28,74.80314960629921,211.20000000000002,1933,67,347 reps,1796,198 reps,70,6:26
43,Mason Doherty,Australia,Oceania,CrossFit MSD,31,70.47244094488188,193.60000000000002,2028,1848,304 reps,146,8:44,34,5:48
44,Harry Debenham,Australia,Oceania,Mesomorph CrossFit,26,70.86614173228347,184.8,2037,1131,313 reps,696,9:30,210,7:35
45,Jeffrey Dupuis,Canada,North America,CrossFit Closer,29,66,155,2074,890,317 reps,1095,9:45,89,6:39
46,Quentin Gerald,France,Europe,CrossFit Serval,24,70.86614173228347,198.00000000000003,2078,176,335 reps,1351,9:52,551,9:00
47,Ibai Sanchez,Spain,Europe,CrossFit Elche Triboo,27,66.92913385826772,176.0,2084,840,318 reps,1126,9:46,118,6:54
48,Alexandre Pinsolle,France,Europe,CrossFit Happy Hearts,28,74.01574803149606,209.00000000000003,2101,1260,311 reps,815,9:35,26,5:40
49,Ben Sexton,United States,North America,CrossFit 423,25,69,195,2123,1848,304 reps,175,8:48,100,6:47
50,Dene Flude,New Zealand,Oceania,,33,70.86614173228347,193.60000000000002,2207,792,319 reps,1351,9:52,64,6:21
